timestamp_ms,rssi
47427,-33
47657,-34
47886,-34
48115,-34
48344,-34
48574,-34
48803,-35
49032,-37
49261,-34
49490,-35
49719,-34
49949,-34
50178,-33
50406,-33
50635,-34
50865,-34
51094,-34
51323,-33
51552,-34
51781,-34
52011,-33
52240,-32
52469,-33
52698,-33
52928,-33
53157,-33
53386,-33
53615,-33
53844,-34
54073,-32
54303,-34
54532,-33
54761,-34
54990,-34
55219,-33
55448,-34
55677,-33
55906,-33
56136,-34
56365,-33
56594,-33
56823,-34
57052,-34
57281,-33
57511,-34
57740,-34
57969,-32
58198,-34
58427,-34
58657,-35
58891,-34
59121,-34
59350,-33
59579,-35
59808,-34
60037,-35
60267,-33
60496,-32
60725,-33
60954,-35
61183,-32
61412,-34
61641,-36
61871,-34
62100,-34
62329,-33
62558,-36
62788,-35
63017,-34
63246,-35
63475,-34
63705,-34
63934,-35
64163,-35
64393,-34
64622,-34
64851,-34
65080,-34
65309,-35
65539,-36
65768,-34
65997,-33
66226,-34
66455,-35
66685,-34
66914,-33
67143,-34
67372,-35
67601,-34
67831,-35
68060,-34
68289,-33
68518,-34
68747,-33
68977,-36
69206,-35
69435,-33
69664,-34
69894,-34
70123,-33
70352,-34
70587,-34
70816,-36
71045,-34
71274,-33
71503,-35
71733,-35
71962,-33
72191,-34
72420,-34
72650,-33
72879,-34
73108,-34
73337,-33
73567,-34
73796,-35
74025,-34
74254,-35
74483,-33
74713,-34
74942,-34
75171,-32
75400,-34
75630,-33
75859,-33
76088,-33
76317,-33
76546,-33
76777,-34
77007,-33
77236,-35
77465,-33
77694,-33
77924,-35
78153,-32
78382,-31
78611,-32
78841,-31
79070,-32
79299,-33
79528,-31
79758,-32
79987,-32
80216,-31
80445,-32
80674,-32
80904,-33
81133,-33
81362,-32
81591,-34
81821,-33
82050,-33
82284,-34
82514,-33
82743,-32
82972,-36
83202,-32
83431,-33
83660,-33
83890,-33
84119,-33
84348,-33
84577,-33
84806,-33
85036,-33
85265,-33
85494,-33
85723,-33
85953,-34
86182,-33
86411,-32
86640,-33
86869,-34
87099,-33
87328,-33
87557,-34
87786,-32
88015,-33
88244,-34
88474,-33
88703,-33
88932,-32
89161,-32
89390,-33
89620,-32
89849,-32
90078,-33
90307,-33
90536,-33
90766,-34
90995,-33
91224,-33
91453,-31
91683,-32
91912,-32
92141,-32
92370,-32
92599,-32
92829,-32
93058,-33
93287,-33
93516,-32
93745,-32
93974,-32
94209,-33
94438,-32
94667,-33
94896,-33
95126,-32
95355,-34
95584,-33
95813,-35
96043,-33
96272,-34
96501,-34
96730,-33
96959,-34
97189,-33
97418,-33
97647,-32
97876,-33
98106,-33
98335,-32
98564,-33
98793,-33
99023,-32
99252,-35
99480,-33
99710,-34
99939,-34
100168,-32
100397,-34
100627,-33
100856,-33
101085,-33
101314,-33
101544,-33
101773,-34
102002,-33
102231,-33
102461,-34
102690,-33
102919,-32
103148,-33
103378,-32
103607,-34
103837,-37
104066,-33
104295,-34
104524,-34
104754,-34
104983,-34
105212,-34
105447,-34
105676,-37
105906,-34
106135,-35
106364,-37
106593,-35
106822,-35
107052,-35
107281,-35
107510,-34
107739,-34
107969,-34
108198,-34
108427,-36
108656,-36
108886,-34
109117,-35
109346,-34
109575,-35
109804,-35
110034,-36
110263,-35
110492,-35
110722,-35
110950,-33
111180,-35
111409,-37
111638,-34
111867,-34
112096,-35
112326,-37
112555,-34
112784,-34
113013,-34
113242,-34
113472,-35
113701,-35
113930,-33
114159,-32
114389,-33
114618,-32
114847,-33
115076,-33
115306,-33
115535,-33
115764,-32
115998,-33
116228,-33
116457,-32
116685,-33
116915,-32
117144,-33
117373,-33
117603,-33
117832,-33
118061,-33
118290,-33
118519,-33
118749,-34
118978,-33
119207,-33
119436,-33
119666,-35
119895,-33
120124,-33
120353,-33
120582,-33
120812,-33
121041,-33
121270,-34
121499,-34
121729,-34
121958,-34
122187,-33
122416,-35
122646,-34
122875,-33
123104,-33
123333,-34
123563,-34
123792,-33
124021,-34
124251,-34
124480,-33
124709,-34
124938,-32
125167,-34
125397,-34
125626,-33
125855,-34
126084,-34
126313,-33
126542,-33
126777,-35
127007,-35
127236,-34
127465,-33
127694,-33
127924,-33
128152,-33
128382,-33
128611,-33
128840,-34
129070,-34
129299,-34
129528,-34
129757,-33
129986,-33
130216,-33
130445,-34
130674,-33
130903,-34
131133,-33
131362,-34
131591,-33
131820,-33
132051,-34
132280,-34
132509,-33
132738,-33
132967,-32
133197,-33
133426,-33
133655,-32
133884,-33
134114,-31
134343,-32
134572,-33
134801,-32
135030,-32
135260,-32
135489,-33
135718,-32
135947,-33
136176,-33
136406,-33
136635,-33
136864,-33
137093,-33
137327,-33
137557,-33
137786,-32
138015,-32
138244,-36
138474,-31
138703,-33
138932,-35
139161,-32
139390,-34
139619,-33
139849,-33
140078,-33
140307,-33
140536,-33
140765,-34
140995,-33
141226,-34
141455,-33
141684,-34
141913,-34
142142,-33
142372,-34
142601,-33
142830,-34
143059,-35
143288,-34
143517,-34
143746,-34
143976,-35
144205,-35
144434,-34
144663,-35
144892,-34
145122,-34
145351,-33
145580,-35
145809,-33
146038,-34
146268,-34
146497,-34
146726,-35
146955,-34
147184,-34
147413,-34
147643,-34
147872,-35
148106,-36
148336,-34
148565,-36
148794,-34
149023,-34
149252,-35
149481,-34
149710,-35
149940,-34
150169,-35
150398,-35
150627,-36
150857,-34
151086,-35
151315,-33
151544,-33
151773,-33
152003,-33
152232,-34
152461,-34
152690,-33
152920,-33
153149,-31
153378,-33
153607,-33
153836,-33
154065,-33
154295,-36
154524,-34
154753,-34
154982,-34
155211,-34
155440,-33
155670,-33
155899,-34
156128,-34
156357,-33
156586,-34
156816,-35
157045,-34
157274,-35
157503,-35
157732,-35
157961,-36
158191,-34
158420,-36
158655,-35
158884,-36
159113,-35
159342,-34
159571,-35
159801,-34
160030,-34
160259,-36
160488,-34
160717,-34
160946,-34
161175,-34
161404,-35
161633,-35
161863,-35
162092,-35
162321,-35
162550,-35
